Month,Year,ev_date,State,latitude,longitude,Landslide Count,Years
3,2010,3/18/2010 0:00,Tennessee,35.6733,-83.6643,,
5,2010,5/3/2010 0:00,Kentucky,37.4083,-82.904,,
3,2010,3/14/2010 9:00,Tennessee,35.5001,-83.9442,,
12,2010,12/13/2010 0:00,Washington,47.539,-122.1458,,
1,2010,1/20/2010 15:00,California,37.3595,-122.1264,,
8,2010,8/19/2010 15:00,Colorado,39.191,-107.2774,,
12,2010,12/12/2010 0:00,Washington,47.3851,-122.8044,,
1,2010,1/18/2010 0:00,California,34.2074,-118.1258,,
12,2010,12/12/2010 0:00,Washington,47.5326,-122.0695,,
12,2010,12/12/2010 9:51,Washington,48.7109,-121.1883,,
8,2010,8/4/2010 6:15,Washington,47.6736,-120.2304,,
5,2010,5/2/2010 0:00,Tennessee,35.9862,-86.992,,
8,2010,8/19/2010 15:40,Colorado,39.1994,-107.2271,,
12,2010,12/11/2010 8:00,Washington,47.7367,-121.0207,,
2,2010,2/8/2010 0:00,Tennessee,36.2585,-85.0777,,
1,2010,1/25/2010 2:00,Tennessee,35.2361,-85.226,,
4,2010,4/6/2010 9:00,Oregon,44.6635,-123.949,,
2,2010,2/6/2010 0:00,Kentucky,36.7908,-84.1668,,
12,2010,12/28/2010 22:00,Oregon,45.5153,-122.7004,,
12,2010,12/13/2010 9:00,Washington,47.7278,-122.2818,,
3,2010,3/21/2010 2:00,Ohio,40.5399,-80.9,,
12,2010,12/26/2010 10:00,California,36.8242,-119.7847,,
5,2010,5/3/2010 0:00,Kentucky,37.4563,-82.4223,,
7,2010,7/21/2010 8:00,Ohio,38.4262,-82.4781,,
3,2010,3/16/2010 10:00,Pennsylvania,40.4059,-75.0086,,
1,2010,1/18/2010 0:00,Washington,48.0364,-123.426,,
12,2010,12/21/2010 14:00,California,33.4581,-117.6705,,
5,2010,5/17/2010 23:00,West Virginia,38.3534,-81.6513,,
1,2010,1/14/2010 2:00,Washington,47.7346,-122.2851,,
7,2010,7/13/2010 0:00,New York,42.7167,-77.5191,,
12,2010,12/12/2010 0:00,Washington,47.4348,-122.9922,,
2,2010,2/18/2010 9:00,California,34.0682,-117.8056,,
